variable_name,units,value,data_reference
rho,Js2_per_m5,1050,known
T,second,1,defined_by_user
q_ra_us,m3,4E-06,Korakianitis_2006_Table_1
q_rv_us,m3,1E-05,Korakianitis_2006_Table_1
q_la_us,m3,4E-06,Korakianitis_2006_Table_1
q_lv_us,m3,5E-06,Korakianitis_2006_Table_1
q_ra_init,m3,4E-06,Korakianitis_2006_Table_1
q_rv_init,m3,1E-05,Korakianitis_2006_Table_1
q_la_init,m3,4E-06,Korakianitis_2006_Table_1
q_lv_init,m3,1E-3,to_be_identified
T_ac,second,0.17,Liang_2009_Table_2
T_ar,second,0.17,Liang_2009_Table_2
t_astart,second,0.8,Liang_2009_Table_2
T_vc,second,0.34,Liang_2009_Table_2
T_vr,second,0.15,Liang_2009_Table_2
t_vstart,second,0,Liang_2009_Table_2
E_ra_A,J_per_m6,7998000,Liang_2009_Table_2
E_ra_B,J_per_m6,9331000,Liang_2009_Table_2
E_rv_A,J_per_m6,73315000,Liang_2009_Table_2
E_rv_B,J_per_m6,6665000,Liang_2009_Table_2
E_la_A,J_per_m6,9331000,Liang_2009_Table_2
E_la_B,J_per_m6,11997000,Liang_2009_Table_2
E_lv_A,J_per_m6,366575000,Liang_2009_Table_2
E_lv_B,J_per_m6,10664000,Liang_2009_Table_2
K_vo_trv,m3_per_Js,0.3,Mynard_2012
K_vo_puv,m3_per_Js,0.2,Mynard_2012
K_vo_miv,m3_per_Js,0.3,Mynard_2012
K_vo_aov,m3_per_Js,0.12,Mynard_2012
K_vc_trv,m3_per_Js,0.4,Mynard_2012
K_vc_puv,m3_per_Js,0.2,Mynard_2012
K_vc_miv,m3_per_Js,0.4,Mynard_2012
K_vc_aov,m3_per_Js,0.12,Mynard_2012
M_rg_trv,dimensionless,0,Mynard_2012
M_rg_puv,dimensionless,0,Mynard_2012
M_rg_miv,dimensionless,0,Mynard_2012
M_rg_aov,dimensionless,0,Mynard_2012
M_st_trv,dimensionless,1,Mynard_2012
M_st_puv,dimensionless,1,Mynard_2012
M_st_miv,dimensionless,1,Mynard_2012
M_st_aov,dimensionless,1,Mynard_2012
l_eff,metre,0.01,to_be_identified
A_nn_trv,m2,0.0008,Mynard_2012
A_nn_puv,m2,0.00071,Mynard_2012
A_nn_miv,m2,0.00077,Mynard_2012
A_nn_aov,m2,0.00068,Mynard_2012
E_ascending_aorta_C0,J_per_m3,400000,ADAN_86
l_ascending_aorta_C0,metre,0.014796,ADAN_86
r_0_ascending_aorta_C0,metre,0.0145305,ADAN_86
u_0_ascending_aorta_C0,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_ascending_aorta_C0,dimensionless,0,defined_by_user
beta_g,dimensionless,0,user_defined
mu,Js_per_m3,0.004,known
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802,TODO_reference
b_vessel,per_m,-505.3,TODO_reference
c_vessel,dimensionless,0.1324,TODO_reference
d_vessel,per_m,-11.14,TODO_reference
E_aortic_arch_C2,J_per_m3,400000,ADAN_86
l_aortic_arch_C2,metre,0.014796,ADAN_86
r_0_aortic_arch_C2,metre,0.0133364,ADAN_86
u_0_aortic_arch_C2,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_aortic_arch_C2,dimensionless,90,defined_by_user
E_brachiocephalic_trunk_C4,J_per_m3,400000,ADAN_86
l_brachiocephalic_trunk_C4,metre,0.0473822,ADAN_86
r_0_brachiocephalic_trunk_C4,metre,0.00641887,ADAN_86
u_0_brachiocephalic_trunk_C4,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_brachiocephalic_trunk_C4,dimensionless,0,defined_by_user
E_aortic_arch_C46,J_per_m3,400000,ADAN_86
l_aortic_arch_C46,metre,0.00960849,ADAN_86
r_0_aortic_arch_C46,metre,0.0127671,ADAN_86
u_0_aortic_arch_C46,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_aortic_arch_C46,dimensionless,90,defined_by_user
E_aortic_arch_C64,J_per_m3,400000,ADAN_86
l_aortic_arch_C64,metre,0.00697955,ADAN_86
r_0_aortic_arch_C64,metre,0.0124288,ADAN_86
u_0_aortic_arch_C64,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_aortic_arch_C64,dimensionless,90,defined_by_user
E_aortic_arch_C94,J_per_m3,400000,ADAN_86
l_aortic_arch_C94,metre,0.0432111,ADAN_86
r_0_aortic_arch_C94,metre,0.0117401,ADAN_86
u_0_aortic_arch_C94,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_aortic_arch_C94,dimensionless,90,defined_by_user
E_thoracic_aorta_C96,J_per_m3,400000,ADAN_86
l_thoracic_aorta_C96,metre,0.00989803,ADAN_86
r_0_thoracic_aorta_C96,metre,0.0104579,ADAN_86
u_0_thoracic_aorta_C96,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_thoracic_aorta_C96,dimensionless,180,defined_by_user
E_thoracic_aorta_C100,J_per_m3,400000,ADAN_86
l_thoracic_aorta_C100,metre,0.00788038,ADAN_86
r_0_thoracic_aorta_C100,metre,0.0102897,ADAN_86
u_0_thoracic_aorta_C100,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_thoracic_aorta_C100,dimensionless,180,defined_by_user
E_thoracic_aorta_C104,J_per_m3,400000,ADAN_86
l_thoracic_aorta_C104,metre,0.0155561,ADAN_86
r_0_thoracic_aorta_C104,metre,0.0100681,ADAN_86
u_0_thoracic_aorta_C104,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_thoracic_aorta_C104,dimensionless,180,defined_by_user
E_thoracic_aorta_C108,J_per_m3,400000,ADAN_86
l_thoracic_aorta_C108,metre,0.00532705,ADAN_86
r_0_thoracic_aorta_C108,metre,0.00987279,ADAN_86
u_0_thoracic_aorta_C108,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_thoracic_aorta_C108,dimensionless,180,defined_by_user
E_thoracic_aorta_C112,J_per_m3,400000,ADAN_86
l_thoracic_aorta_C112,metre,0.121566,ADAN_86
r_0_thoracic_aorta_C112,metre,0.00847543,ADAN_86
u_0_thoracic_aorta_C112,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_thoracic_aorta_C112,dimensionless,180,defined_by_user
E_abdominal_aorta_C114,J_per_m3,400000,ADAN_86
l_abdominal_aorta_C114,metre,0.00324767,ADAN_86
r_0_abdominal_aorta_C114,metre,0.00751533,ADAN_86
u_0_abdominal_aorta_C114,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_abdominal_aorta_C114,dimensionless,180,defined_by_user
E_abdominal_aorta_C136,J_per_m3,400000,ADAN_86
l_abdominal_aorta_C136,metre,0.0139886,ADAN_86
r_0_abdominal_aorta_C136,metre,0.00742666,ADAN_86
u_0_abdominal_aorta_C136,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_abdominal_aorta_C136,dimensionless,180,defined_by_user
E_abdominal_aorta_C164,J_per_m3,400000,ADAN_86
l_abdominal_aorta_C164,metre,0.00431913,ADAN_86
r_0_abdominal_aorta_C164,metre,0.00729199,ADAN_86
u_0_abdominal_aorta_C164,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_abdominal_aorta_C164,dimensionless,180,defined_by_user
E_abdominal_aorta_C176,J_per_m3,400000,ADAN_86
l_abdominal_aorta_C176,metre,0.0119773,ADAN_86
r_0_abdominal_aorta_C176,metre,0.00718902,ADAN_86
u_0_abdominal_aorta_C176,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_abdominal_aorta_C176,dimensionless,180,defined_by_user
E_abdominal_aorta_C188,J_per_m3,400000,ADAN_86
l_abdominal_aorta_C188,metre,0.0540907,ADAN_86
r_0_abdominal_aorta_C188,metre,0.00679934,ADAN_86
u_0_abdominal_aorta_C188,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_abdominal_aorta_C188,dimensionless,180,defined_by_user
E_abdominal_aorta_C192,J_per_m3,400000,ADAN_86
l_abdominal_aorta_C192,metre,0.042231,ADAN_86
r_0_abdominal_aorta_C192,metre,0.00612422,ADAN_86
u_0_abdominal_aorta_C192,J_per_m3,10.64e3,AssumedRefOf80mmHg
theta_abdominal_aorta_C192,dimensionless,180,defined_by_user
R_T_posterior_intercostal_T1_R98_T,Js_per_m6,22580900000,ADAN_86
