variable_name,units,value,data_reference
rho,Js2_per_m5,1050,Safaei
T,second,0.4,literature
q_ra_us,m3,0.00000024,literature
q_rv_us,m3,0.0000008,literature
q_la_us,m3,0.00000016,literature
q_lv_us,m3,0.00000053,literature
q_ra_init,m3,0.00000024,literature
q_rv_init,m3,0.0000008,literature
q_la_init,m3,0.00000016,literature
q_lv_init,m3,0.000053,to_be_identified
T_ac,second,0.07,literature
T_ar,second,0.07,literature
t_astart,second,0.32,guessed
T_vc,second,0.14,literature
T_vr,second,0.06,literature
t_vstart,second,0,copied_simple_physiological
E_lv_A,J_per_m6,103000000,to_be_identified
E_lv_B,J_per_m6,9330000,to_be_identified
K_vo_trv,m3_per_Js,2,try_ideal_valve
K_vo_puv,m3_per_Js,2,try_ideal_valve
K_vo_miv,m3_per_Js,2,try_ideal_valve
K_vo_aov,m3_per_Js,2,try_ideal_valve
K_vc_trv,m3_per_Js,2,try_ideal_valve
K_vc_puv,m3_per_Js,2,try_ideal_valve
K_vc_miv,m3_per_Js,2,try_ideal_valve
K_vc_aov,m3_per_Js,2,try_ideal_valve
M_rg_trv,dimensionless,0,Mynard_2012
M_rg_puv,dimensionless,0,Mynard_2012
M_rg_miv,dimensionless,0,Mynard_2012
M_rg_aov,dimensionless,0,Mynard_2012
M_st_trv,dimensionless,1,Mynard_2012
M_st_puv,dimensionless,1,Mynard_2012
M_st_miv,dimensionless,1,Mynard_2012
M_st_aov,dimensionless,1,Mynard_2012
l_eff,metre,0.001,guessed
A_nn_trv,m2,2.80E-04,Abushaban2018doubled
A_nn_puv,m2,8.80E-05,Abushaban2018doubled
A_nn_miv,m2,3.16E-04,Abushaban2018doubled
A_nn_aov,m2,9.46E-05,Abushaban2018doubled
E_aortic_root,J_per_m3,4.00E+05,to_be_identified
l_aortic_root,metre,4.00E-03,Mynard2011
r_aortic_root,metre,5.13E-03,Cantinotti2014
theta_aortic_root,dimensionless,0.00E+00,defined_by_user
u_ext_aortic_root,J_per_m3,0.0,user_defined
beta_g,dimensionless,0.0,user_defined
mu,Js_per_m3,0.004,known
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802,TODO_reference
b_vessel,per_m,-505.3,TODO_reference
c_vessel,dimensionless,0.1324,TODO_reference
d_vessel,per_m,-11.14,TODO_reference
E_ascending_aorta,J_per_m3,4.00E+05,Meeting_23Jun2022
l_ascending_aorta,metre,9.00E-03,Mynard2011
r_ascending_aorta,metre,4.65E-03,Cantinotti2014
theta_ascending_aorta,dimensionless,0.00E+00,defined_by_user
u_ext_ascending_aorta,J_per_m3,0.0,user_defined
E_brachiocephalic,J_per_m3,4.00E+05,Meeting_23Jun2022
l_brachiocephalic,metre,1.20E-02,Mynard2011
r_brachiocephalic,metre,2.30E-03,Machii1997
theta_brachiocephalic,dimensionless,0.00E+00,defined_by_user
u_ext_brachiocephalic,J_per_m3,0.0,user_defined
E_subclavian_R,J_per_m3,4.00E+05,Meeting_23Jun2022
l_subclavian_R,metre,3.90E-02,Mynard2011
r_subclavian_R,metre,1.80E-03,Machii1997
u_ext_subclavian_R,J_per_m3,0.0,user_defined
theta_subclavian_R,dimensionless,0.00E+00,defined_by_user
E_common_carotid_R,J_per_m3,4.00E+05,Meeting_23Jun2022
l_common_carotid_R,metre,6.30E-02,Mynard2011
r_common_carotid_R,metre,1.75E-03,Machii1997
u_ext_common_carotid_R,J_per_m3,0.0,user_defined
theta_common_carotid_R,dimensionless,0.00E+00,defined_by_user
E_aortic_arch_I,J_per_m3,4.00E+05,Meeting_23Jun2022
l_aortic_arch_I,metre,4.00E-03,Mynard2011
r_aortic_arch_I,metre,3.63E-03,Cantinotti2014
theta_aortic_arch_I,dimensionless,0.00E+00,defined_by_user
